Data,open ,high,low ,close ,volume
2024.04.15,3644.61,3706.3,3601.24,3699.6,15514
2024.04.16,3696.45,3742.95,3682.3,3721,9676
2024.04.17,3717.8,3730.65,3659.25,3667.35,9236
2024.04.18,3666.75,3719.3,3666.2,3705.2,6776
2024.04.19,3702.35,3793.75,3699.2,3723.4,16806
2024.04.22,3715.6,3720.12,3603.24,3607.75,12592
2024.04.23,3607.21,3618.8,3556.7,3579.15,9615
2024.04.24,3578.11,3600.27,3550.63,3563.6,8478
2024.04.25,3561.8,3602.7,3544.7,3576.95,10086
2024.04.26,3574.4,3595.74,3563.95,3577.25,6074
2024.04.29,3574.1,3574.1,3539.35,3556.15,5156
2024.04.30,3554.85,3568.16,3529,3530.4,5388
2024.05.01,3529.39,3563.74,3525.57,3554.2,5154
2024.05.02,3550.11,3565.17,3501.33,3507.95,8553
2024.05.03,3506.98,3510.37,3436.8,3480.25,12042
2024.05.06,3481.6,3516.75,3467.3,3507.2,7331
2024.05.07,3507.25,3522.07,3493.8,3506.9,5620
2024.05.08,3505.4,3534.2,3505.15,3508.1,5541
2024.05.09,3506.6,3545.44,3505.75,3543.7,4229
2024.05.10,3542.08,3598.05,3540.3,3573.15,8444
2024.05.13,3576.27,3585.47,3529.45,3535.05,7083
2024.05.14,3533.25,3561.94,3533.25,3557.55,3309
2024.05.15,3556.75,3573.3,3544.76,3564.05,4979
2024.05.16,3562.41,3583.95,3551.3,3557.95,6085
2024.05.17,3557.91,3618.19,3556.6,3606.95,7415
2024.05.20,3615.47,3657,3607.04,3638.5,7690
2024.05.21,3637.1,3647,3615.64,3631.35,5698
2024.05.22,3630.22,3634,3589.99,3592.3,5011
2024.05.23,3592.82,3599.56,3522.61,3524.7,8579
2024.05.24,3523.31,3546.06,3514.9,3520.3,5932
2024.05.27,3522.44,3542.8,3515.81,3531.6,4483
2024.05.28,3529.55,3550.95,3513.4,3550.8,5386
2024.05.29,3549.05,3553.71,3520.45,3536.05,5353
2024.05.30,3534.19,3541.7,3521.15,3532.05,3897
2024.05.31,3531.28,3540.09,3492.3,3497.55,6186
2024.06.03,3497.29,3529.33,3484.69,3513.5,7308
2024.06.04,3513.37,3527.18,3485.88,3498.7,6794
2024.06.05,3496.79,3547.9,3496.26,3542.7,5738
2024.06.06,3542.65,3570.97,3533.7,3563.6,5360
2024.06.07,3562.29,3577.63,3475.09,3484.85,12765
2024.06.10,3485.35,3502.83,3470.7,3495.1,5452
2024.06.11,3496.64,3514.62,3481.3,3506.55,5674
2024.06.12,3505.52,3507.56,3466.09,3488.15,6558
2024.06.13,3486.77,3490.3,3459.13,3471.7,4728
2024.06.14,3470.83,3538.78,3469.85,3525.2,8350
2024.06.17,3521.93,3531.21,3500.48,3506.1,4564
2024.06.18,3505.39,3520.78,3485.4,3499.15,6453
2024.06.19,3497.6,3500.02,3482.79,3489.15,2602
2024.06.20,3487.96,3547.92,3487.46,3545.25,6364
2024.06.21,3545.17,3559.61,3489.55,3495.15,9011
2024.06.24,3494.01,3508.38,3487.72,3506.65,2869
2024.06.25,3504.02,3507.97,3483.18,3488.9,3447
2024.06.26,3486.5,3500.55,3449.12,3456.8,7317
2024.06.27,3455.23,3503.71,3445.33,3501.8,7020
2024.06.28,3500.26,3513.93,3478.2,3487.1,5831
2024.07.01,3481.07,3505.91,3474.62,3500.45,4321
2024.07.02,3499.95,3512.74,3484.2,3493.3,5044
2024.07.03,3492.77,3525.64,3486.87,3512.65,5767
2024.07.04,3512.4,3517.83,3501.35,3503.25,2382
2024.07.05,3501.3,3545.27,3493.51,3541.85,6298
2024.07.08,3534.2,3545.87,3489,3501.61,8116
2024.07.09,3500.19,3515.72,3492.57,3506.65,3985
2024.07.10,3504.89,3538.85,3504.1,3513.85,6055
2024.07.11,3512.92,3580.76,3511.5,3573.05,7840
2024.07.12,3572.47,3573.33,3531.47,3552.13,6339
2024.07.15,3559.29,3597.61,3545.89,3583.1,7964
2024.07.16,3581.75,3666.55,3579.61,3665.8,8984
2024.07.17,3663.9,3685.38,3646.8,3653.55,6682
2024.07.18,3652.87,3672.26,3638.32,3645.9,6092
2024.07.19,3643.41,3646,3579.78,3590.55,7959
2024.07.22,3588.74,3613.92,3587.19,3607.1,3511
2024.07.23,3606.15,3642.74,3601.62,3641.38,4702
2024.07.24,3639.75,3681.87,3639.75,3642.1,8190
2024.07.25,3639.8,3657.39,3593.42,3615.75,10390
2024.07.26,3614.78,3647.7,3598.58,3645.35,6768
2024.07.29,3641.42,3665.47,3626.05,3640.1,7753
2024.07.30,3637.4,3689.49,3632,3687.6,6479
2024.07.31,3685.3,3747.79,3678.45,3741.05,8294
2024.08.01,3741.28,3765.05,3724.53,3762.45,5988
2024.08.02,3762.33,3809.07,3700.38,3752.45,20751
2024.08.05,3748.91,3831.19,3672,3708.75,27823
2024.08.06,3708.5,3729.62,3655.13,3665.3,10579
2024.08.07,3663.2,3668.38,3633.25,3654.75,6182
2024.08.08,3651.95,3690.13,3642.51,3681.8,6540
2024.08.09,3680.65,3705.53,3664.18,3698.55,6481
2024.08.12,3693.18,3754.95,3681.7,3754.65,8504
2024.08.13,3748.9,3761.86,3711.07,3715.25,6794
2024.08.14,3716.33,3741.38,3690.53,3710.6,9598
2024.08.15,3710.4,3731.55,3680.85,3716.05,9576
